,date,county,state,pop2019,weekOyear,cases,dailyCaseGrowth,deaths,dailyDeathGrowth,fips,COUNTYFP,case%,caseGrowth%,death%,deathGrowth%,caseper100K,deathper100K,ruralUrban,variable,value
31,2020-12-25,Jackson,Wisconsin,20643,52,2346,9.0,16.0,1.0,,,0.11364627234413603,0.0038363171355498722,0.0007750811413069806,0.0625,11364.627234413603,77.50811413069806,rural,NEVER,0.027000000000000003
32,2020-12-25,Juneau,Wisconsin,26687,52,2395,8.0,10.0,0.0,,,0.08974407014651328,0.003340292275574113,0.0003747142803612246,0.0,8974.407014651328,37.47142803612246,rural,NEVER,0.113
33,2020-12-25,Iowa,Wisconsin,23678,52,1701,5.0,6.0,0.0,,,0.07183883773967396,0.0029394473838918285,0.000253399780386857,0.0,7183.883773967396,25.3399780386857,rural,NEVER,0.065
34,2020-12-25,Grant,Wisconsin,51439,52,4446,10.0,82.0,0.0,,,0.08643247341511305,0.002249212775528565,0.0015941211920916037,0.0,8643.247341511305,159.41211920916038,urban,NEVER,0.10300000000000001
35,2020-12-25,Monroe,Wisconsin,46253,52,3412,28.0,23.0,0.0,,,0.07376818800942642,0.008206330597889801,0.0004972650422675286,0.0,7376.818800942641,49.72650422675286,rural,NEVER,0.073
36,2020-12-25,Lincoln,Wisconsin,27593,52,2517,12.0,55.0,0.0,,,0.09121878737360925,0.004767580452920143,0.0019932591599318666,0.0,9121.878737360925,199.32591599318667,rural,NEVER,0.10099999999999999
37,2020-12-25,Clark,Wisconsin,34774,52,3010,26.0,52.0,0.0,,,0.08655892333352505,0.008637873754152824,0.0014953701041007649,0.0,8655.892333352505,149.53701041007648,rural,NEVER,0.162
38,2020-12-25,Portage,Wisconsin,70772,52,5764,26.0,50.0,0.0,,,0.08144463912281694,0.004510756419153366,0.0007064940937093766,0.0,8144.463912281693,70.64940937093766,urban,NEVER,0.157
39,2020-12-25,Vilas,Wisconsin,22195,52,1616,13.0,23.0,0.0,,,0.07280919125929264,0.008044554455445545,0.0010362694300518134,0.0,7280.919125929264,103.62694300518135,rural,NEVER,0.051
40,2020-12-25,Marinette,Wisconsin,40350,52,3793,9.0,42.0,0.0,,,0.09400247831474597,0.002372791985235961,0.0010408921933085502,0.0,9400.247831474597,104.08921933085502,rural,NEVER,0.09300000000000001
41,2020-12-25,Iron,Wisconsin,5687,52,518,0.0,25.0,0.0,,,0.09108493054334448,0.0,0.004395990856339019,0.0,9108.493054334447,439.59908563390184,rural,NEVER,0.04
42,2020-12-25,Richland,Wisconsin,17252,52,1087,11.0,13.0,0.0,,,0.06300718757245537,0.010119595216191352,0.0007535358219336888,0.0,6300.718757245537,75.35358219336888,rural,NEVER,0.312
43,2020-12-25,Waupaca,Wisconsin,50990,52,4647,9.0,133.0,0.0,,,0.09113551676799372,0.001936733376371853,0.00260835457932928,0.0,9113.551676799372,260.835457932928,urban,NEVER,0.076
44,2020-12-25,Oneida,Wisconsin,35595,52,2828,17.0,50.0,0.0,,,0.07944936086529007,0.006011315417256012,0.0014046916701783959,0.0,7944.936086529007,140.4691670178396,rural,NEVER,0.057
45,2020-12-25,Taylor,Wisconsin,20343,52,1743,3.0,19.0,0.0,,,0.08568057808582805,0.0017211703958691911,0.0009339822051811434,0.0,8568.057808582804,93.39822051811434,rural,NEVER,0.201
46,2020-12-25,Marquette,Wisconsin,15574,52,1284,0.0,21.0,0.0,,,0.0824451008090407,0.0,0.0013484011814562733,0.0,8244.51008090407,134.84011814562734,rural,NEVER,0.174
47,2020-12-25,Door,Wisconsin,27668,52,2102,0.0,14.0,0.0,,,0.07597224230157583,0.0,0.000505999710857308,0.0,7597.2242301575825,50.59997108573081,rural,NEVER,0.021
48,2020-12-25,Crawford,Wisconsin,16131,52,1576,3.0,12.0,0.0,,,0.097700080590168,0.0019035532994923859,0.0007439092430723452,0.0,9770.0080590168,74.39092430723451,rural,NEVER,0.20199999999999999
49,2020-12-25,Oconto,Wisconsin,37930,52,3992,14.0,41.0,0.0,,,0.10524650672291062,0.0035070140280561123,0.0010809385710519378,0.0,10524.650672291062,108.09385710519378,rural,NEVER,0.07
50,2020-12-25,Buffalo,Wisconsin,13031,52,976,1.0,6.0,0.0,,,0.07489831939221855,0.0010245901639344263,0.00046044048806691734,0.0,7489.8319392218555,46.044048806691734,rural,NEVER,0.039
51,2020-12-25,Ashland,Wisconsin,15562,52,1011,5.0,14.0,0.0,,,0.06496594268088934,0.004945598417408506,0.0008996272972625626,0.0,6496.594268088935,89.96272972625626,rural,NEVER,0.078
52,2020-12-25,Menominee,Wisconsin,4556,52,703,0.0,10.0,0.0,,,0.15430201931518875,0.0,0.0021949078138718174,0.0,15430.201931518875,219.49078138718176,rural,NEVER,0.042
53,2020-12-25,Adams,Wisconsin,20220,52,1396,4.0,12.0,0.0,,,0.06904055390702275,0.0028653295128939827,0.0005934718100890207,0.0,6904.055390702275,59.347181008902076,rural,NEVER,0.163
54,2020-12-25,Trempealeau,Wisconsin,29649,52,2963,2.0,30.0,0.0,,,0.09993591689433033,0.0006749915626054674,0.0010118385105737124,0.0,9993.591689433033,101.18385105737124,rural,NEVER,0.02
55,2020-12-25,Barron,Wisconsin,45244,52,4467,26.0,55.0,0.0,,,0.09873132349040757,0.005820461159614954,0.0012156308018742817,0.0,9873.132349040758,121.56308018742817,rural,NEVER,0.138
56,2020-12-25,Rusk,Wisconsin,14178,52,1117,10.0,11.0,0.0,,,0.07878403159825081,0.008952551477170993,0.0007758499083086472,0.0,7878.403159825081,77.58499083086471,rural,NEVER,0.095
57,2020-12-25,Manitowoc,Wisconsin,78981,52,6751,24.0,55.0,0.0,,,0.0854762537825553,0.0035550288846096876,0.0006963700130411111,0.0,8547.62537825553,69.63700130411111,urban,NEVER,0.175
58,2020-12-25,Shawano,Wisconsin,40899,52,4466,20.0,64.0,-1.0,,,0.10919582385877405,0.0044782803403493054,0.0015648304359519793,-0.015625,10919.582385877406,156.48304359519793,rural,NEVER,0.05
59,2020-12-25,Florence,Wisconsin,4295,52,415,1.0,12.0,0.0,,,0.09662398137369034,0.0024096385542168677,0.0027939464493597207,0.0,9662.398137369035,279.39464493597205,rural,NEVER,0.053
60,2020-12-25,Kewaunee,Wisconsin,20434,52,2106,0.0,25.0,0.0,,,0.1030635215816776,0.0,0.0012234511108936087,0.0,10306.35215816776,122.34511108936087,rural,NEVER,0.033
61,2020-12-25,Waushara,Wisconsin,24443,52,2035,6.0,15.0,0.0,,,0.08325491960888598,0.0029484029484029483,0.0006136726261097246,0.0,8325.491960888598,61.36726261097246,rural,NEVER,0.109
62,2020-12-25,Lafayette,Wisconsin,16665,52,1321,4.0,6.0,0.0,,,0.07926792679267927,0.003028009084027252,0.00036003600360036,0.0,7926.792679267927,36.003600360036,rural,NEVER,0.055999999999999994
63,2020-12-25,Sawyer,Wisconsin,16558,52,1180,4.0,10.0,0.0,,,0.07126464548858558,0.003389830508474576,0.0006039376736320811,0.0,7126.4645488585575,60.39376736320811,rural,NEVER,0.057999999999999996
64,2020-12-25,Price,Wisconsin,13351,52,980,2.0,5.0,0.0,,,0.07340274136768782,0.0020408163265306124,0.00037450378248820313,0.0,7340.274136768782,37.450378248820314,rural,NEVER,0.059000000000000004
65,2020-12-25,Green Lake,Wisconsin,18913,52,1708,2.0,13.0,0.0,,,0.09030825358219215,0.00117096018735363,0.0006873579019721884,0.0,9030.825358219216,68.73579019721885,rural,NEVER,0.092
66,2020-12-25,Washburn,Wisconsin,15720,52,1054,3.0,13.0,0.0,,,0.06704834605597965,0.0028462998102466793,0.0008269720101781171,0.0,6704.834605597965,82.69720101781171,rural,NEVER,0.08199999999999999
67,2020-12-25,Vernon,Wisconsin,30822,52,1509,18.0,22.0,0.0,,,0.04895853611057037,0.011928429423459244,0.0007137758743754461,0.0,4895.853611057037,71.3775874375446,rural,NEVER,0.157
68,2020-12-25,Forest,Wisconsin,9004,52,883,3.0,24.0,0.0,,,0.09806752554420257,0.0033975084937712344,0.0026654820079964462,0.0,9806.752554420258,266.54820079964463,rural,NEVER,0.085
69,2020-12-25,Burnett,Wisconsin,15414,52,1076,2.0,19.0,0.0,,,0.06980666926171013,0.0018587360594795538,0.0012326456468145842,0.0,6980.666926171013,123.26456468145842,rural,NEVER,0.09699999999999999
70,2020-12-25,Pepin,Wisconsin,7287,52,649,0.0,5.0,0.0,,,0.08906271442294497,0.0,0.0006861534239055853,0.0,8906.271442294497,68.61534239055854,rural,NEVER,0.071
71,2020-12-25,Langlade,Wisconsin,19189,52,1885,7.0,40.0,0.0,,,0.09823336286414092,0.003713527851458886,0.002084527593934025,0.0,9823.33628641409,208.4527593934025,rural,NEVER,0.085
72,2020-12-25,Ramsey,Minnesota,550321,52,36203,0.0,654.0,0.0,,,0.06578524170438707,0.0,0.001188397317202142,0.0,6578.524170438707,118.8397317202142,urban,NEVER,0.044000000000000004
73,2020-12-25,Carver,Minnesota,105089,52,6289,0.0,32.0,0.0,,,0.05984451274633882,0.0,0.00030450380153964734,0.0,5984.451274633882,30.450380153964733,urban,NEVER,0.024
74,2020-12-25,Anoka,Minnesota,356921,52,28326,0.0,307.0,0.0,,,0.07936209973635623,0.0,0.0008601343154367493,0.0,7936.209973635623,86.01343154367494,urban,NEVER,0.054000000000000006
75,2020-12-25,Olmsted,Minnesota,158293,52,8837,0.0,54.0,0.0,,,0.05582685273511779,0.0,0.0003411395323861447,0.0,5582.685273511779,34.11395323861447,urban,NEVER,0.023
76,2020-12-25,Stearns,Minnesota,161075,52,16630,0.0,165.0,0.0,,,0.10324383051373584,0.0,0.0010243675306534222,0.0,10324.383051373585,102.43675306534222,urban,NEVER,0.08199999999999999
77,2020-12-25,Dakota,Minnesota,429021,52,29355,0.0,262.0,0.0,,,0.06842322403798415,0.0,0.0006106927166735428,0.0,6842.322403798415,61.06927166735428,urban,NEVER,0.07200000000000001
78,2020-12-25,Hennepin,Minnesota,1265843,52,84116,0.0,1345.0,0.0,,,0.06645057878425681,0.0,0.0010625330313474893,0.0,6645.05787842568,106.25330313474893,urban,NEVER,0.021
79,2020-12-25,Wright,Minnesota,138377,52,10562,0.0,81.0,0.0,,,0.07632771342058291,0.0,0.0005853573932084089,0.0,7632.77134205829,58.53573932084089,urban,NEVER,0.083
80,2020-12-25,Renville,Minnesota,14548,52,1265,0.0,38.0,0.0,,,0.08695353313170195,0.0,0.0026120428924938134,0.0,8695.353313170195,261.20428924938136,rural,NEVER,0.05
82,2020-12-25,Waseca,Minnesota,18612,52,1680,0.0,12.0,0.0,,,0.09026434558349453,0.0,0.0006447453255963894,0.0,9026.434558349452,64.47453255963894,rural,NEVER,0.07400000000000001
84,2020-12-25,Blue Earth,Minnesota,67653,52,4910,0.0,27.0,0.0,,,0.07257623460896043,0.0,0.00039909538379672744,0.0,7257.623460896043,39.909538379672746,urban,NEVER,0.065
85,2020-12-25,Benton,Minnesota,40889,52,3792,0.0,72.0,0.0,,,0.0927388784269608,0.0,0.0017608647802587493,0.0,9273.88784269608,176.08647802587492,rural,NEVER,0.084
86,2020-12-25,Cass,Minnesota,29779,52,1879,0.0,19.0,0.0,,,0.06309815641895296,0.0,0.000638033513549817,0.0,6309.815641895296,63.8033513549817,rural,NEVER,0.105
87,2020-12-25,Nicollet,Minnesota,34274,52,2008,0.0,30.0,0.0,,,0.058586683783626074,0.0,0.0008752990605123417,0.0,5858.668378362608,87.52990605123418,rural,NEVER,0.063
88,2020-12-25,Martin,Minnesota,19683,52,1542,0.0,24.0,0.0,,,0.0783417162017985,0.0,0.0012193263222069807,0.0,7834.17162017985,121.93263222069807,rural,NEVER,0.18
90,2020-12-25,Rice,Minnesota,66972,52,5312,0.0,48.0,0.0,,,0.07931672937944216,0.0,0.0007167174341515857,0.0,7931.672937944216,71.67174341515857,urban,NEVER,0.08900000000000001
91,2020-12-25,Mower,Minnesota,40062,52,3265,0.0,24.0,0.0,,,0.08149867705057161,0.0,0.0005990714392691329,0.0,8149.8677050571605,59.907143926913285,rural,NEVER,0.071
92,2020-12-25,Scott,Minnesota,149013,52,10693,0.0,74.0,0.0,,,0.07175883983276626,0.0,0.0004966009677008046,0.0,7175.883983276626,49.660096770080465,urban,NEVER,0.021
96,2020-12-25,Chisago,Minnesota,56579,52,4018,0.0,26.0,0.0,,,0.07101574789232754,0.0,0.00045953445624701743,0.0,7101.574789232754,45.95344562470174,urban,NEVER,0.064
97,2020-12-25,Clay,Minnesota,64222,52,6065,0.0,75.0,0.0,,,0.09443804303821121,0.0,0.001167824110118028,0.0,9443.804303821122,116.78241101180281,urban,NEVER,0.092
98,2020-12-25,Fillmore,Minnesota,21067,52,1040,0.0,0.0,0.0,,,0.04936630749513457,0.0,0.0,,4936.630749513457,0.0,rural,NEVER,0.026000000000000002
99,2020-12-25,Steele,Minnesota,36649,52,2453,0.0,9.0,0.0,,,0.0669322491746023,0.0,0.000245572866926792,0.0,6693.22491746023,24.557286692679202,rural,NEVER,0.07400000000000001
100,2020-12-25,Wabasha,Minnesota,21627,52,1441,0.0,2.0,0.0,,,0.0666296758681278,0.0,9.247699634715864e-05,0.0,6662.967586812781,9.247699634715865,rural,NEVER,0.040999999999999995
101,2020-12-25,St. Louis,Minnesota,199070,52,12066,0.0,186.0,0.0,,,0.06061184507962023,0.0,0.0009343447028683378,0.0,6061.184507962023,93.43447028683377,urban,NEVER,0.095
104,2020-12-25,Le Sueur,Minnesota,28887,52,1886,0.0,15.0,0.0,,,0.06528888427320248,0.0,0.0005192647211548448,0.0,6528.888427320248,51.92647211548448,rural,NEVER,0.055
105,2020-12-25,Pennington,Minnesota,14119,52,875,0.0,14.0,0.0,,,0.061973227565691624,0.0,0.0009915716410510659,0.0,6197.322756569162,99.15716410510659,rural,NEVER,0.081
106,2020-12-25,Sherburne,Minnesota,97238,52,7465,0.0,55.0,0.0,,,0.07677039840391617,0.0,0.0005656224932639503,0.0,7677.039840391617,56.56224932639503,urban,NEVER,0.064
107,2020-12-25,Big Stone,Minnesota,4991,52,422,0.0,3.0,0.0,,,0.0845521939491084,0.0,0.0006010819475055099,0.0,8455.21939491084,60.108194750550986,rural,NEVER,0.256
108,2020-12-25,Lac qui Parle,Minnesota,6623,52,576,0.0,14.0,0.0,,,0.08696965121546127,0.0,0.0021138456892646836,0.0,8696.965121546127,211.38456892646835,rural,NEVER,0.184
111,2020-12-25,Goodhue,Minnesota,46340,52,2906,0.0,39.0,0.0,,,0.06271040138109625,0.0,0.0008416055243849806,0.0,6271.040138109625,84.16055243849806,rural,NEVER,0.03
112,2020-12-25,Winona,Minnesota,50484,52,3474,0.0,42.0,0.0,,,0.06881388162586166,0.0,0.0008319467554076539,0.0,6881.388162586166,83.19467554076539,urban,NEVER,0.028999999999999998
113,2020-12-25,Wilkin,Minnesota,6207,52,574,0.0,7.0,0.0,,,0.09247623650716932,0.0,0.001127758981794748,0.0,9247.623650716932,112.7758981794748,rural,NEVER,0.166
114,2020-12-25,Kandiyohi,Minnesota,43199,52,5292,0.0,60.0,0.0,,,0.12250283571378967,0.0,0.0013889210398388852,0.0,12250.283571378966,138.89210398388852,rural,NEVER,0.109
115,2020-12-25,Sibley,Minnesota,14865,52,982,0.0,4.0,0.0,,,0.06606121762529432,0.0,0.0002690884628321561,0.0,6606.121762529432,26.908846283215606,rural,NEVER,0.04
116,2020-12-25,Todd,Minnesota,24664,52,2194,0.0,24.0,0.0,,,0.08895556276354201,0.0,0.0009730781706130393,0.0,8895.5562763542,97.30781706130392,rural,NEVER,0.09699999999999999
117,2020-12-25,Faribault,Minnesota,13653,52,867,0.0,9.0,0.0,,,0.06350252691716106,0.0,0.0006591957811470006,0.0,6350.252691716106,65.91957811470006,rural,NEVER,0.078
118,2020-12-25,Beltrami,Minnesota,47188,52,2822,0.0,36.0,0.0,,,0.05980333983216072,0.0,0.0007629058235144528,0.0,5980.333983216072,76.29058235144528,rural,NEVER,0.094
119,2020-12-25,Mahnomen,Minnesota,5527,52,384,0.0,7.0,0.0,,,0.06947711235751763,0.0,0.0012665098606839153,0.0,6947.7112357517635,126.65098606839153,rural,NEVER,0.07
120,2020-12-25,Marshall,Minnesota,9336,52,667,0.0,12.0,0.0,,,0.07144387317909169,0.0,0.0012853470437017994,0.0,7144.387317909169,128.53470437017995,rural,NEVER,0.078
121,2020-12-25,Clearwater,Minnesota,8818,52,635,0.0,13.0,0.0,,,0.07201179405760944,0.0,0.0014742572011794057,0.0,7201.179405760943,147.42572011794056,rural,NEVER,0.065
122,2020-12-25,Isanti,Minnesota,40596,52,2555,0.0,30.0,0.0,,,0.06293723519558578,0.0,0.0007389890629618681,0.0,6293.723519558578,73.89890629618681,rural,NEVER,0.10400000000000001
123,2020-12-25,Cottonwood,Minnesota,11196,52,1203,0.0,14.0,0.0,,,0.10744908896034298,0.0,0.001250446588067167,0.0,10744.908896034298,125.0446588067167,rural,NEVER,0.21600000000000003
124,2020-12-25,Otter Tail,Minnesota,58746,52,4118,0.0,48.0,0.0,,,0.07009838967759507,0.0,0.0008170769073639056,0.0,7009.838967759508,81.70769073639056,urban,NEVER,0.078
125,2020-12-25,Itasca,Minnesota,45130,52,2627,0.0,33.0,0.0,,,0.05820961666297363,0.0,0.0007312209173498781,0.0,5820.961666297363,73.1220917349878,rural,NEVER,0.162
126,2020-12-25,Watonwan,Minnesota,10897,52,1019,0.0,5.0,0.0,,,0.09351197577314857,0.0,0.0004588418830870882,0.0,9351.197577314857,45.88418830870882,rural,NEVER,0.149
127,2020-12-25,Meeker,Minnesota,23222,52,1837,0.0,31.0,0.0,,,0.0791060201533029,0.0,0.001334941004220136,0.0,7910.60201533029,133.49410042201362,rural,NEVER,0.07200000000000001
128,2020-12-25,Carlton,Minnesota,35871,52,2536,0.0,35.0,0.0,,,0.07069777814948008,0.0,0.0009757185470156951,0.0,7069.777814948008,97.5718547015695,rural,NEVER,0.057999999999999996
129,2020-12-25,Traverse,Minnesota,3259,52,201,0.0,2.0,0.0,,,0.06167536054004296,0.0,0.000613685179502915,0.0,6167.536054004296,61.368517950291505,rural,NEVER,0.196
130,2020-12-25,Lyon,Minnesota,25474,52,2761,0.0,28.0,0.0,,,0.10838502002041298,0.0,0.0010991599277694905,0.0,10838.502002041298,109.91599277694905,rural,NEVER,0.134
131,2020-12-25,Yellow Medicine,Minnesota,9709,52,844,0.0,14.0,0.0,,,0.08692965289937171,0.0,0.0014419610670511895,0.0,8692.96528993717,144.19610670511895,rural,NEVER,0.122
132,2020-12-25,Freeborn,Minnesota,30281,52,1905,0.0,17.0,0.0,,,0.06291073610514844,0.0,0.0005614081437204848,0.0,6291.073610514844,56.14081437204848,rural,NEVER,0.135
133,2020-12-25,Crow Wing,Minnesota,65055,52,4425,0.0,56.0,0.0,,,0.06801936822688494,0.0,0.000860810083775267,0.0,6801.9368226884935,86.0810083775267,urban,NEVER,0.147
134,2020-12-25,Lake,Minnesota,10641,52,528,0.0,15.0,0.0,,,0.049619396673245,0.0,0.00140964195094446,0.0,4961.9396673245,140.964195094446,rural,NEVER,0.087
135,2020-12-25,Koochiching,Minnesota,12229,52,536,0.0,8.0,0.0,,,0.04383023959440674,0.0,0.0006541826805135334,0.0,4383.023959440674,65.41826805135335,rural,NEVER,0.159
136,2020-12-25,McLeod,Minnesota,35893,52,3008,0.0,36.0,0.0,,,0.08380464157356587,0.0,0.0010029810826623577,0.0,8380.464157356588,100.29810826623577,rural,NEVER,0.061
137,2020-12-25,Houston,Minnesota,18600,52,1132,0.0,11.0,0.0,,,0.06086021505376344,0.0,0.0005913978494623656,0.0,6086.021505376344,59.13978494623656,rural,NEVER,0.07200000000000001
138,2020-12-25,Pipestone,Minnesota,9126,52,861,0.0,21.0,0.0,,,0.09434582511505589,0.0,0.0023011176857330702,0.0,9434.582511505589,230.11176857330702,rural,NEVER,0.08800000000000001
139,2020-12-25,Redwood,Minnesota,15170,52,1285,0.0,26.0,0.0,,,0.08470665787738958,0.0,0.0017139090309822016,0.0,8470.665787738959,171.39090309822015,rural,NEVER,0.081
140,2020-12-25,Murray,Minnesota,8194,52,735,0.0,5.0,0.0,,,0.08969978032706859,0.0,0.00061020258725897,0.0,8969.978032706858,61.020258725897,rural,NEVER,0.131
141,2020-12-25,Swift,Minnesota,9266,52,781,0.0,14.0,0.0,,,0.08428663932657025,0.0,0.00151090006475286,0.0,8428.663932657026,151.090006475286,rural,NEVER,0.17
142,2020-12-25,Roseau,Minnesota,15165,52,1582,0.0,14.0,0.0,,,0.10431915595120343,0.0,0.0009231783712495879,0.0,10431.915595120343,92.31783712495879,rural,NEVER,0.077
143,2020-12-25,Pine,Minnesota,29579,52,2323,0.0,12.0,0.0,,,0.07853544744582305,0.0,0.00040569322830386425,0.0,7853.544744582306,40.569322830386426,rural,NEVER,0.17800000000000002
144,2020-12-25,Nobles,Minnesota,21629,52,3487,0.0,44.0,0.0,,,0.16121873410698598,0.0,0.002034305793148088,0.0,16121.873410698598,203.43057931480882,rural,NEVER,0.244
